"Nome","Telefone","Endereço","Tipo","Prioridade","Status","Avaliação","Anotações"
"Buffet Family · Butantã Raposo","11987930881","R. Prof. Máximo Ribeiro Nunes, 135 – Butantã","Buffet Infantil","media","reuniao","4.8","Contato realizado via whatsapp com Fernando. O mesmo já trabalha com a empresa Markfruit. Ficou interessados solicitou as amostras dos refrescos e chá mate também. Eles tem 4 Unidades do buffet Capão, Taboão centro, Taboão e Butantã. Utilizam em média 11 Galões por semana o mesmo pediu para deixar as amostras no end. Taboão Centro. Rua Paulina Ortega 182 Deixar com a funcionária Sill Anny, que ele vai fazer a degustação, depois que ela avisar que recebeu. Sabores para amostras Abacaxi com hortelã  Laranja  Laranja com acerola  Uva  Goiaba  Chá Mate + Chá com pêssego"
"Espaço Infantil Alecrim","11933999530","R. Dr. Emílio Ribas, 110 – Perdizes","Buffet Infantil","media","contatado","4.9","Contato realizado via whatsapp com a Carla, dia 19/05. A mesma informou que passaria o contato para Fernanda ou Mariana, responsáveis pela área. Nova mensagem enviada dia 22/05."
"Cedrom Buffet e Eventos","11981334995","Zona Oeste – SP","Buffet / Eventos","media","contatado","","Contato realizado via whatsapp dia 19/05. Mensagem automática via IA. Nova tentativa enviada dia 22/05."
"Zezé e Lelé Buffet","11965949255","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova mensagem enviada dia 22/05."
"Toca do Panda","11939614878","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada via whatsapp dia 19/05. Porem sem retrono, nova mensagem enviada dia 21/05."
"Espaço Thor Buffet","11978568441","Zona Oeste – SP","Buffet Infantil","media","reuniao","","Mensagem enviada dia 19/05. Retorno dia 20/05. Vamos nos falar na próx semana. Por favor E entender melhor se é possível colocar no cardápio."
"Infinity Gastronomia","11972312834","Zona Oeste – SP","Buffet / Gastronomia","media","contatado","","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova enviada em 22/05."
"Buffet Lá no Quintal","11999961666","Zona Oeste – SP","Buffet / Eventos","media","contatado","4.5","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova mesagem dia 22/05."
"Espaço Formigueiro","11945058447","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada via whatsapp dia 19/05. Sem retorno, nova mensagem enviada dia 22/05."
"Buffet Espaço Leopoldina","11947646232","Vila Leopoldina – SP","Buffet Infantil","media","pendente","","Tentativa d econtato via whatsapp, porém numero não pertence ao buffet. Sem outro contato disponível."
"Serenata Kids Buffet","11940320123","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada dia 19/05 via whatsapp. Sem retorno, nova mensagem dia 22/05."
"Buffet Villa Ballon","11947399938","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada dia 19/05. Retorno automático. Agradecemos a sua mensagem. Estamos num pequeno recesso.  Responderemos as mensagens assim que possível. Obrigado pela compreensão."
"Buffet Ciranda in Villa","11941849264","Zona Oeste – SP","Buffet Infantil","media","sem-interesse","","Contato relizado dia 05/05 vi whatsapp. Retorno com interesse em degustar as amostras. Atualmente servem refresco em pó, querem uma outra alternativa mais natural. romovem 6 a 8 festas por semana. Sabores para degustar:  Uva 🍇  Morango 🍓  Laranja 🍊  Cajú  Chá Pêssego 🍑 Cliente não aprovou o produto, achou fraco diluição (6x1) na (5x1) achou melhor, porém não deu continuidde na negociação."
"Alladin Buffet","11976918000","Zona Oeste – SP","Buffet Infantil","media","sem-interesse","","Contato realizado em 06/05 via whatsapp. Cliente falou que não utiliza nossos produtos. Usam apenas um tipo de suco natural nas festas."
"Buffet Akela I","11968900572","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada dia 19/05 via whatsapp. Sem retono, nova mensagem enviada dai 22/05."
"Buffet Magic Osasco","11980449001","Osasco – SP","Buffet Infantil","media","contatado","","Mensagem enviada dia 06/05 via whatsapp. Sem retorno, nova mensagem enviada dia 19/05."
"Buffet Kids Mania","11994781822","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada dia 19/05 via whatsapp, retorno com novo whatsapp da pessoa responsável (Nilda) 11 96666-6157, porém ainda sem retorno."
"Tataplay Buffet","11931000732","Zona Oeste – SP","Buffet Infantil","media","contatado","","Mensagem enviada via whtaspp dia 19/05. Sem retorno, nova mensagem enviada dia 22/05."
"Balloon Magic Children's Buffet","1134327721","Zona Oeste – SP","Buffet Infantil","media","pendente","",""
"Alegria & Alegria Buffet","11979953150","Zona Oeste – SP","Buffet Infantil","media","pendente","",""
"Buffet Alegria & Cia","11995929074","Zona Oeste – SP","Buffet Infantil","media","pendente","",""
"Flor de Mandacaru","11941503066","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Villa do Sol","11981950073","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Fábrica da Alegria","11912026369","Zona Oeste – SP","Buffet Infantil","baixa","pendente","",""
"Espaço Play Buffet","11947040891","Zona Oeste – SP","Buffet Infantil","baixa","pendente","",""
"Buffet Zureta","11984622895","Zona Oeste – SP","Buffet Infantil","baixa","pendente","",""
"Buffet Madeira","11949562286","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Neves Buffet","11993079308","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Espaço Galático","11960767865","Zona Oeste – SP","Buffet Infantil","baixa","pendente","",""
"Buffet Batoon","11973605075","Zona Oeste – SP","Buffet Infantil","baixa","pendente","",""
"Buffet Pavanelli","11987550799","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Quintal da Vovó","11989069295","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Pizza Party Brazil","11995578906","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Espaço Mariah","1136835595","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Etc & Tal Osasco","11980143645","Osasco – SP","Buffet / Eventos","baixa","reuniao","","Mensagem enviada via whatsapp dia 19/05. Retorno com interesse em conhecer as amostras Promovem 6 festas por semana.  Hj utilizamos.suco natural, tipo melancia, manga, goiba , limao e morango.  Mas nao se preocupe qto ao sabor, vc mesmo pode escolher Apenas qto ao chocolate quente eu gostaria de provar se possível. Local de entrega: rua sao mauricio 192 km 18 osasco dia 26 terça-feira as 14h  Levar Chá mate + com Limão e pêssego "
"Come and Go Buffet","11993807585","Zona Oeste – SP","Buffet Móvel","baixa","pendente","",""
"Villa da Alegria","11933251435","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Estação Folia","11997608181","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Espaço Halo","1136810655","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet and Party Space","11959663813","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Shallon – Espaço D'Luccas","11974367267","Zona Oeste – SP","Buffet / Eventos","baixa","pendente","",""
"Buffet Cat Sapeka","11950392714","Zona Oeste – SP","Buffet Infantil","baixa","reuniao","","Contato via whatsapp realizado dia 06/05. Interesse em conhecer as amostras. Reunião agendada dia 12/05. Amostras entregues neste dia. Cliente ainda não provou os produtos em 14/05 Nova mensagem em 19/05, cliente provou e gostou porém está analisando preços junto ao sócio."
"Sabor & Tentação – Buffet a Domicílio","11975178507","Vila Osasco, Osasco – SP","Buffet Móvel","baixa","pendente","4.9",""
"Buffet Quintal da Vila","11952173305","Av. Dr. Cardoso de Melo, 610 – Vila Olímpia","Buffet Infantil","baixa","pendente","4.9",""
"No Galão – Pinheiros","1130978848","R. Fernão Dias, 161 – Pinheiros","Eventos","baixa","pendente","4.7",""
"Buffet Hora do Break – Carapicuíba","11949836132","Estr. Onda Verde, 1296 – Carapicuíba","Buffet / Eventos","baixa","pendente","5",""
"VIPS Buffet Eventos – Osasco","11992633656","Av. Hildebrando de Lima, 861 – Osasco","Eventos","baixa","pendente","5",""
"Sol Buffet Eventos – Osasco","11947773076","Av. Hildebrando de Lima, 240 – Osasco","Eventos","baixa","pendente","4.5",""
"Buffet Finesse","11940691021","Av. Pompéia, 972 - Pompeia, São Paulo - SP, 05022-000","Casamentos","media","reuniao","4.5","Contato realizado via whatsapp dia 19/05. Retorno com interesse em conhecer as amostras Entregar no endereço Av. Pompéia, 972b - Perdizes horário das 10h-16h (Ter-Sex) A/c. Bruno (funcionário) Enviar os sabores carro chefe (sem exigências) Local promove casamentos e eventos corporativos 6x por semana"
"Le Grand Buffet","11965816915","R. Pedro Marigliani, 315 - Chácara Inglesa, São Paulo - SP, 05141-010","Casamentos","media","reuniao","4.7","Contato relizado via whatsapp dia 19/05. Retorno com interesse em receber as amostras. promovem 8 eventos semanais Local de entrega das amostras sem degustação no dia: Travessa Umbelina de Jesus, 66 ou 39 - Remédios - A/C. Rodolfo (Ter-Sex das 10h-16h) Hoje nós trabalhamos com suco de uva, laranja e limão  Pink limonade e soda italiana  Na nossa mesa de despedida temos apenas café, mas dependendo o custo o chocolate não é uma má ideia!"
"Moreno Eventos","1194791-8257","R. Alvarenga, 1083 - Butantã, São Paulo - SP, 05509-001","Casamentos","media","reuniao","4.2","Contato reslizado via whatsapp dia 19/05. Retorno com interesse em conhecer as amostrasa. Local para entregar e fazer a degustação: End. do buffet. Segunda-Feira 25/05 as 13h A/C. Luciana Gostaria de experimentar o suco de laranja e abacaxi se possível.   Xarope que uso: Grenadine Gengibre Curaçau Blue Guaraná  Maçã Verde Morango Framboesa Flor de sabugueiro  Hortelã"
